Product Title,Price,% Off,Discount Code,Amazon_link,
"2022 Planner – Planner 2022 Weekly and Monthly, 8” x 10”, Jan. 2022 – Dec. 2022, Flexible Cover, Twin-Wire Binding, Printed Tabs, Round Corner Design",$4.99,50%,50PNRFL3,https://www.amazon.com/promocode/A2YVIFEK6JDI20?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Plastic Pots for Plants Set of 6 Flower Pots for Indoor Plants with Saucers, 7/6/5.5/5/4.5/4 Inch Modern Decorative Plant Pots with Drainage Holes for All House Plants and Flowers (White)",$11.98,40%,407UB6MC,https://www.amazon.com/promocode/A3K5F8VQDYKAXB?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Laptop Sleeve 14 inch Laptop Case Waterproof Laptop Computer Cover Bag with Pockets Compatible with 13″ MacBook Air 2014-2020, 13.3-14 inch HP/Dell/Asus/Samsung Notebook",$11.39,70%,702H8NE2,https://www.amazon.com/promocode/ATZ9NF3GWY7NX?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Goothdurs Fanny Pack for Women Men Fashion Waist Bag Waterproof Hip Bum Bag with Adjustable Belt for Running Travel Hiking Cycling Money,$10.79,40%,40JRF9DD,https://www.amazon.com/promocode/A1TJ9G6AXU4OMK?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
UBFEN Women’s High Waist Yoga Shorts Workout Athletic Shorts for Tummy Control Running Sports Pants with Pockets B Green 8″ Medium,$8.79,60%,604D6OO7,https://www.amazon.com/promocode/A1BABUDUCS8KW4?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"lifeegrn RV Water Filter with Hose Protector, Inline Water Filter, Reduces Bad Taste, Odors, Chlorine and Sediment in Drinking Water, Blue(2 Packs)",$8.04,65%,1532LRYK,https://www.amazon.com/promocode/AVCA3MZVW5PWH?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
ETCYY NEW FANEW Womens Cowl V- Neck Buttoned Knit Loose Fit Sweater Dress with Pocket Coffee,$8.99,70%,7048HBDZ,https://www.amazon.com/promocode/A1OXD9KMVV7A8A?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
2 Pcs Medium Hair Claw Clips Nonslip Big Hair Claw Clips for Women Banana Hair Clips for Women Girls Strong Hold Hair Clips for Thick Hair Accessories (2A),$5.99,60%,15JGFLMB,https://www.amazon.com/promocode/ALQ3CW4POY8N4?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Magnetic USB C Charging Cable, NAFY 3A Magnetic USB Cable Support QC 3.0 Fast Charging & Data Transfer, Magnet Phone Charger Nylon Braided Cord for Type C Devices (Blue 3Pack 6.6Ft)",$10.79,40%,405M4U76,https://www.amazon.com/promocode/A3KS1J4967HQWE?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"KIKET Magnetic Case Compatible with iPhone 12 Pro Max Case MagSafe Charging, [Military Drop Protection], Ultra Slim Anti-Fall Scratch Cover,Support Wireless Fast Charge,Blue",$6.59,80%,80GVKGVG,https://www.amazon.com/promocode/A2290WRW4SPP09?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Janhomeng Fuzzy Slippers for Women, Open Toe Spa Cozy House Slippers Comfy Bedroom Fluffy Slides for Women (Black) …",$9.99,50%,50H3H8S1,https://www.amazon.com/promocode/A3NNSRQ06P6YVC?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Standing Desk Converter Computer Workstation Adjustable Height, JUSTSTONE Stand Up Desk Riser for Standing or Sitting Home Office Fits Dual Monitors, Black (28 inch)",$35.99,70%,70IV5UOV,https://www.amazon.com/promocode/A3N6OTMEHSHZVE?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
BomKinta Men’s Breathable Road Running Shoes Lace Up Gym Traning Sneakers Comfortable Non Slip Walking Shoes Athletic Shoes Zapatos Deportivos de Hombre Gray Blue Size 8,$23.99,40%,40IROZ7S,https://www.amazon.com/promocode/A2QHTT8SYXOOE2?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
BRONAX House Slippers for Women Comfy Fur Lined Anti-Slip Soft Female Pantunflas Para Mujer Indoor Flats Home Shoes Durable Outsole Winter Warm Close Toe Ladies Grey,$7.78,59%,59LSU8EY,https://www.amazon.com/promocode/A1DP7LBXCVWOVN?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Lanzom Kids Girl Classic Wool Felt Bowler Cap Bow Wide Brim Floppy Fedora Hat(Grey,4-10 Years)",$13.64,35%,35RBQ3NY,https://www.amazon.com/promocode/AJN0TJ90BU74N?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Learning Tablet Toy, Baby Tablet Preschool Child Early Educational Touch Pad for Fun Learn Number ABCs Spelling Animal Pink-One",$15.99,80%,80X4CNXF,https://www.amazon.com/promocode/A1BJ1A10CW4TWY?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Vinyl VSCO Girls Stickers Hydro Flask Waterproof Skateboard Stickers for Water Bottle DIY Xmas Decoration Laptop Decals Gift Card Luggage Car Bicycle Music Film Guitar Travel Case Programmer 50Pack,$2.31,50%,50QJFF2U,https://www.amazon.com/promocode/AGNRZFG342UKT?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Women Hollow Blue Leather Belts SUOSDEY Faux Leather Jeans Waist Belt for Ladies Dresses,$3.99,60%,60AAATTT,https://www.amazon.com/promocode/A2LJJ9RHFT1MW3?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Girls Snow Boots, Knit Winter Flat shoes with Cute Buckles for Toddler/Little Kid Brown/Orange Size 8",$13.49,55%,55ZVNSJS,https://www.amazon.com/promocode/A379205G7MOITR?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Women U/Square Neck Long Sleeve Shirts Casual Basic Fitting/Loosing Comfy Cotton Tee Tops,$10.79,40%,40IYYVPW,https://www.amazon.com/promocode/A1QLX3593SXBHZ?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Flickering Flameless Candles with 10-Key Remote and Cycling 24 Hours Timer Control, Battery Operated Thanksgiving Christmas Decorating Led Candles Made of Real Wax (Ivory Pack of 3）",$13.19,40%,40TNB3AU,https://www.amazon.com/promocode/A1QSXUKEAXCOQM?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Hummingbird Solar Wind Chimes, OkayGoo Hummingbird Gift Outdoor Wind Chimes Solar Lights Color Changing Solar Night Lights Gifts for Mom Grandma Memorial Wind Chimes Christmas Decoration",$11.19,30%,30XHWSTE,https://www.amazon.com/promocode/A11M53C7OW73ZG?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"4 Pack Case for Apple Watch Series 7 41mm Frame [No Screen Protector], JHACOKO Hard PC Bumper Shockproof Protective Case for iWatch 7 Accessories Rose Gold/Silver/Wine red/Carbon Fiber",$6.99,30%,30YLU9BB,https://www.amazon.com/promocode/A1MU4OZCTE5AQM?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Arfamo Wooden Jigsaw Puzzles – Unique Shape Jigsaw Pieces Best Gift for Adults and Kids Charming Deer – 130 Pieces,$10.14,71%,7114XVFG,https://www.amazon.com/promocode/A1D67NENAHW29L?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Digital Kitchen Scale with Removable Bowl, Multifunction Electronic Food Scale for Cooking Baking, LCD Display, 0.1oz/ 1g 5000g",$16.09,30%,30F9REHJ,https://www.amazon.com/promocode/A2JBWZVXDPF105?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Gnpolo Womens Camo Shirts Long Sleeve Pullover Sweatshirt Camouflage Causal Blouses Tops,$9.19,60%,60GCJ87W,https://www.amazon.com/promocode/A1AZJT28NPSL8V?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
WHITIN Men’s House Slippers Fuzzy Warm Snow Plantar Fasciitis Arch Support Size 7 Diabetic Cotton Male Zapatillas de cama Home Shoes Room Slip On Backless Washable Non-slip Check Red 40,$13.99,50%,50Z4NG5Z,https://www.amazon.com/promocode/ALNF2CNLO813W?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Gifts for Men Him Dad Boyfriend Husband,Multitool Pocket Knife with Blade,Christmas Stocking Stuffers for Men,Perfect Tool for Men,Cool Valentinens Day,Fathers Day Cool Gifts,Camping,Emergency,Outdoor",$10.19,70%,70ULP5WW,https://www.amazon.com/promocode/A116V2XPXY9PPH?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
BRONAX Womens House Slippers Indoor Outdoor Smiley Face Flats With Fur Lined Memory Foam Comfy Warming Anti Slip Pantunflas Para Mujer Bedroom Lightweight Shoes Grey,$7.59,60%,607NTUY2,https://www.amazon.com/promocode/A2HAJ42Z393DAT?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Vegan Leather Large Retro Cosmetic Pouch, Toiletry Travel Bag for Women, Portable and Waterproof Brown Makeup Bag",$15.99,80%,80XI9UNS,https://www.amazon.com/promocode/A3BSJPR03PSJBI?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Cute Car Trash Can with Lid – Leak Proof Car Trash Bag Hanging Waterproof Car Garbage Can with Storage Pockets Multipurpose Collapsible Car Organizer (Black Leopard),$14.07,12%,12F4TKNF,https://www.amazon.com/promocode/A2W3G28NGNEZXU?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
SINNO Fanny Packs for Women Men Running Belt No-Bounce Waist Pack Bag for Workout Gym Exercise Walking Hiking Belt Bag Adjustable Waist Pouch Fits iPhone Cell Phone Holder for Running Travel Money Belt (Dark Blue),$5.99,60%,609SWXXD,https://www.amazon.com/promocode/A34Z1SORRO0K1Q?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Vintage Wallpaper Newspaper Stick and Peel 17.7″x118″ Removable Self-Adhesive Wallpaper Waterproof Stamp Desktop Renovation Rustic Style America Industry Vinyl Furniture Christmas Decoration,$4.49,50%,50WNA6GX,https://www.amazon.com/promocode/A2FUYDTVED81B8?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"WNATN Paint Tray Palette,60 PCS Paint Trays for Kids,Plastic Paint Pallet for Pupils to Painting,DIY Craft,Play Party at Home,Kindergarten or School",$15.11,30%,30W2G1PZ,https://www.amazon.com/promocode/A12H8DOBELV3SY?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Gifts for Men Dad,Tactical Pen (8-in-1),Christmas Stocking Stuffers for Men,Cool & Unique Valentines Day Anniversary Birthday Gifts for Boyfriend Husband Him,Fathers Day Cool Gifts for Dad,Gift Box",$7.49,70%,70LN8WY8,https://www.amazon.com/promocode/A23NXVD5RVQM4?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Phone Stand,Cell Phone Stand of Desk,Multi-Phone Holder,Adjustable Height,Unlimited Vision,Stable Base,Support All Phones and Screens from 2-15.6 inch+4.7 inch,(iPhone, Android,Switch,etc.),",$7.64,55%,552CQLDG,https://www.amazon.com/promocode/A2ZKH7P2I316V8?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Mama Rainbow Shirt Women Funny Letter Heart Graphic Printed Tshirts Mother Gifts Casual Short Sleeve Tee Tops (Red, Large)",$9.59,40%,40VK6JGP,https://www.amazon.com/promocode/A3CIQCZ09CQES?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
BomKinta Mens Breathable Road Running Shoes Non Slip Walking Sneakers Lace Up Gym Athletic Shoes for Workout Indoor Cross Training Black Size 10,$20.39,40%,40J7CSSA,https://www.amazon.com/promocode/A34ZSJ7GWDUI7S?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Rubinom Compatible with Apple Watch 44mm 42mm,【3 Pack】Soft Sport Silicone Breathable Holes Replacement Wristband for iWatch SE & Series 6/5/4/3/2/1 Women Men, Black/Pine Green/Dark Blue",$5.99,50%,50GPR68O,https://www.amazon.com/promocode/A3KY4QRXIOOWQ5?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
BomKinta Womens Lace-Up Road Running Shoes Walking Fashion Sneakers Black Size 9.5,$15.99,60%,60NJBV9K,https://www.amazon.com/promocode/A3IPEO444HOGZ4?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Turandoss O Necklace for Women Heart Initial – 14K Gold Filled Heart Initial Necklaces for Women, Tiny Initial Necklace for Girls Kids Child, Heart Initial Necklace for Women Girls Jewelry",$4.54,65%,651I13FT,https://www.amazon.com/promocode/A16Y27RS2AJJ2R?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Stone Brick Wallpaper Peel and Stick Wallpaper Self Adhesive Removable Faux Brick Textured Wall Paper 17.7”x118″ Furniture Renovation Waterproof Contact Paper Shelf Drawer Liner Vinyl Film Roll,$3.75,53%,537338NK,https://www.amazon.com/promocode/A3I47UQWRBMSG4?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Joomra Mens Moccasin Slippers Warm Lined Traction Loafers for Man Size 7 Winter House Shoes Male Anti Slip Moc Mules Hiking Camping Boots Pantuflas para Hombres Yellow,$14.84,45%,455AVMJ1,https://www.amazon.com/promocode/AG0JTVTKXQYJK?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
ROYHON Women’s Long Sleeve Hoodies Button Placket Patchwork Sweater Casual Henley Pullovers,$13.49,55%,55NGRMP3,https://www.amazon.com/promocode/A2OX6EQW5HH23V?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"U HOME Computer Glass Monitor Stand Riser, Tempered Glass,22″ x 9.45″ Glass Rectangle Ergonomic Desktop Stand for Computer Monitors, Laptops, Keyboards, Notebook, White",$16.09,65%,65ALC2BG,https://www.amazon.com/promocode/A1RT970I2IFRX3?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"FITORY Girls Fur Lined Clogs, Waterproof Slippers Slip-on Garden Shoes for Todders/Little Kid Yellow 12.5-13 Little Kid",$6.39,60%,603P6PZ3,https://www.amazon.com/promocode/A1Z4836TL66SMS?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Space Heater for Indoor Use, Remote, 1500W Fast Heating Ceramic Electric Heater with Thermostat, Multiple Safety Protection, 60°Oscillating Portable Heater for Office/Bedroom",$29.99,40%,40BWX4SB,https://www.amazon.com/promocode/A1CSFUWLPAAQ4Y?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Gamepad Push Pop Fidget Toy, Game Controller Fidget Popper Toys for ADHD Boys, Stress Relief Video Game Pop Push it Fidget Toys and Early Educational Pop Its Toys Gift for Kids (Blue White Black)",$4.79,40%,40RY8MKJ,https://www.amazon.com/promocode/A2WVHDII4MDLSZ?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
DIOFRG Engraved You Are My Sunshine Sunflower Ring 18K Gold Plated CZ Heart Adjustable Cross Rings I Love You 100 Languages Projection Sliver for Women Teen Girls Birthday Gifts Size 7/9/11,$12.99,50%,50AC6S8T,https://www.amazon.com/promocode/A1FC9EDKH6UW93?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Peel and Stick Wallpaper Removable Wallpaper Geometric Wallpaper Modern Stripe Wallpaper Hexagon Self-Adhesive Contact Paper Waterproof DIY Decoration Wall Bedroom Bathroom Renovation Furniture,$3.14,55%,5559U8C1,https://www.amazon.com/promocode/A2Z022HDV5GCDT?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Wind Chimes, Solar Wind Chimes Outdoor, Color Changing Hummingbird Wind Chime Outdoor Solar Lights String Lights Mobile Hanging Windchime for Decor Home Garden Patio Yard Indoor Outdoor",$10.49,50%,507CD9GY,https://www.amazon.com/promocode/A21A7RJPGRZRVP?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Gimsan Christmas Tree Topper, Christmas Ornaments, 3D Silver Snowflake Tree Decoration with LED Snowflake Projector, Christmas Decoration, Christmas Tree Decoration Ornament",$12.99,50%,50X8AB89,https://www.amazon.com/promocode/A3I2JVV7SNCS4C?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Cat Food Bowls Double Raised – Dorakitten Cat Feeding Bowl Double Kitten Dishes Kitty Water Feeder Raised with Stand for Cats & Small Dogs,$12.74,15%,15KV7HM6,https://www.amazon.com/promocode/A3T8G05DZ3LOVL?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Black Wallpaper Peel and Stick Wallpaper Wood Wallpaper 17.71“x197” Self Adhesive Removable Black Wood Wallpaper Furniture Kitchen Decorative Film Shiplap Cabinet Vinyl,$9.19,54%,54S8HVKE,https://www.amazon.com/promocode/A38FVUK3ILDQXC?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Cutting Board for Kitchen, Plastic Large Chopping Board, Thick Chopping Board with Non-Slip Feet and Deep Drip Juice Groove, Easy Grip Handle, Dishwasher Safe, BPA Free, Non-porous, 15.75×10.24 Inch",$5.99,50%,50AEIOVT,https://www.amazon.com/promocode/A2P4F26OB88RM3?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Dainty Layered Bracelets for Women, 14K Gold Filled Cute Layering Circle Pearl Bracelet Handmade Gold Layered Bar Chain Bracelets for Women Jewelry(Bar & Circle & Pearl)",$5.99,60%,60GO7P95,https://www.amazon.com/promocode/ALF1L9O8DTI9Z?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Men’s Clipper Sneaker Canvas Sneakers Shoes Fashion Casual Shoes (Black and White, 10)",$9.99,80%,80DXJQV6,https://www.amazon.com/promocode/A3OUE4QX487KFS?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Christmas Tree Skirt, 51 inch Red Christmas Tree Mat with Santa Claus, Rustic Thick Xmas Tree Skirt Christmas Decorations for Holiday Party Decor Indoor",$7.19,60%,60OAICFO,https://www.amazon.com/promocode/A1KCK1PBD1011P?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Christmas Pajamas for Women 2 Piece Pajama Set Long Sleeve Cotton Striped Sleepwear Ultra-Soft Pajama Pant Set(L, Black White lattice)",$13.31,63%,63OFZO9S,https://www.amazon.com/promocode/A2YDF5XKRXVM37?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Men’s Clipper Sneaker Canvas Sneakers Shoes Fashion Casual Shoes (Black and White, 11)",$9.99,80%,80QJNBZG,https://www.amazon.com/promocode/A1DE2GT0YFVGQY?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Cute Long Sleeve Onesies For Baby Girls 18-24 Months Toddler Girl Linen One Piece Bodysuit Jumpsuit Matching Bow Headband,$7.19,60%,60HH3AE9,https://www.amazon.com/promocode/A2NTUJFAQN4796?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"FITORY Girls Fur Lined Clogs, Waterproof Slippers Slip-on Garden Shoes for Todders/Little Kid Orange 9-9.5 Toddler",$6.39,60%,60PDBBPO,https://www.amazon.com/promocode/AJQQHJGU60PIE?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Womens Tops Scoop Neck Casual Loose Fit T Shirts Long Sleeve Tunic Blouse(GR,S) Green",$9.99,50%,503V1I5X,https://www.amazon.com/promocode/A26ALWAHQY9K6L?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Black Wallpaper Peel and Stick Wallpaper 17.7″ X 197″Geometric Pattern Wallpaper Modern Stripe Removable Contact Paper Self Adhesive Wall Paper for Bedroom Wall Decorative,$8.09,54%,54E9S9RX,https://www.amazon.com/promocode/A1RQMRELL9ZFLX?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
WHITIN Men’s House Slippers Arch Support Winter Fuzzy Snow Size 12 Plantar Fasciitis Zapatillas de casa para Hombre Cool House Shoes Bedroom Comfortable Slip On Hardwood Floors Tartan Grey 46,$13.99,50%,50PJ36RK,https://www.amazon.com/promocode/A3C0PX9TFV0E33?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
YAWALL Cool Stickers for Laptop Water Bottles Decorative Laptop Skin Dacals,$3.99,50%,5057KG9L,https://www.amazon.com/promocode/AC6M3052IKQXU?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Womens Halloween Dresses Cocktail Party Dress Vintage Floral Tea Dress Classic Swing Dress Dress Pumpkin XL,$12.89,70%,70MQNRWB,https://www.amazon.com/promocode/A1D2JP5JC06JEQ?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
UBFEN Womens Mens Slippers Memory Foam Comfort Fuzzy Plush Lining Slip On House Shoes Indoor Outdoor Navy 7-8 Women 5-6 Men,$12.44,50%,50KZYWGO,https://www.amazon.com/promocode/A329RADD0O7OY4?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Shiatsu Massager – U Shaped Neck and Shoulder Massager with 16-Nodes – Full Body Kneading Massager – Deep Tissue Massager for Back & Neck Pain Relief – Portable Massager for Home Office & Car (Black),$24.99,50%,50H24NU1,https://www.amazon.com/promocode/A2Y0N7FG372940?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Wahdland Spring Throw Pillow Covers 2 Pack Home/Outdoor Decorative Farmhouse  Pillowcases Boho Printed Flamingos Cushion Coverfor Spring and Summer 18 x 18 Inch (No Pillow Inserts) Pink and Goldden,$5.09,70%,70SM6HF1,https://www.amazon.com/promocode/A1337OUUNQS07O?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Womens Tops Scoop Neck Casual Loose Fit T Shirts Long Sleeve Tunic Blouse(WH1,2XL)",$9.99,50%,50W6528O,https://www.amazon.com/promocode/A20WMK79P07TPX?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"3Pcs Outfit Set Baby Girls One Year Old Birthday Lace Tutu Bodysuit Skirt with Headband (Purple, 3-6 Months)",$11.68,35%,3548FQPK,https://www.amazon.com/promocode/A1EHIY6OC3BVZY?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"3D Metal Puzzles Brain Teaser Toys, Fidget Cube Toy",$41.39,10%,10QBJ6NR,https://www.amazon.com/promocode/A3LUHDZE5TLIW7?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
House Slippers for Women Indoor and Outdoor Size 13 14 Fuzzy Cozy Slippers Female Slides Fluffy Comfy Slippers Socks with Memory Foam Warm Winter Woman Bedroom House Shoes Washable Silver,$12.49,50%,50EBJXTC,https://www.amazon.com/promocode/A1FRZSE0HT0ZAA?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Aslaylme 1st Birthday Girl Outfit Baby Girls One Year Old Birthday Bodysuit (White-Long,12-18 Months)",$11.18,30%,307RXQ9X,https://www.amazon.com/promocode/A2ZEPDROQBFZAU?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Men’s Clipper Sneaker Canvas Sneakers Shoes Fashion Casual Shoes (Full Black, 11)",$9.99,80%,80TQ48JJ,https://www.amazon.com/promocode/A3N88NJ5Q0LD4O?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Joy2fitt High Waisted Leggings for Women Lifting Yoga Pants Tie-Dye Activewear Gym Compression Pants Workout Running Booty Scrunch Bottom Black XL,$9.99,75%,75BOIICN,https://www.amazon.com/promocode/A3CDG1PRWH1W2V?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
LGUIY 2pack Fidget Keychain Spinners Toys Set Push Bubble Toy Silicone Fidget Poppers Anxiety Stress Reliever Autism Toy Sensory Hand Fun Squeeze Toy,$5.09,70%,703RVYBU,https://www.amazon.com/promocode/A254AASJV2EDSO?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"LED Marquee Letter Lights Sign, Battery Powered Light Up Alphabet Letters for Bedroom Wedding Birthday Party Christmas Home Bar Decoration",$4.99,50%,507A6HID,https://www.amazon.com/promocode/A3SGLTZ9RS9EXI?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Hot Cream,Slimming Cream,Body Fat Burner Cream for Reducing Belly & Legs Arms, Thigh and Waist Fat, Anti Cellulite, Quick Slimming",$9.48,50%,50Y8B3GZ,https://www.amazon.com/promocode/A30TJIMGICER8H?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Bruno Marc Men’s SBCB212M Chukka Boots Dress Oxford Lace-Up Winter Boot With Warm Fur Lining,BRONZE,Size 9.5",$19.99,60%,60JYIYWR,https://www.amazon.com/promocode/A17GPZEXOC5I9P?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Watch Band Compatible with Apple Watch Band 38mm 40mm 41mm 42mm 44mm 45mm Women Men iWatch Band Soft Silicone Sport Strap Wristband Compatible with Apple Watch Series 7 6 5 4 3 2 1 SE(Grey+Silver),$3.49,50%,504KMOIQ,https://www.amazon.com/promocode/A3RUBTJK3QE1ZW?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
UBFEN Women’s High Waist Yoga Shorts Workout Athletic Shorts for Tummy Control Running Sports Pants with Pockets A Blue 8″ Medium,$8.79,60%,607CPDZ9,https://www.amazon.com/promocode/A2ZVA217NXG06X?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Distressed Wood Wallpaper Contact Paper 17.71In X 236In Self-Adhesive Wood Wallpaper Peel and Stick Wood Wallpaper Vinyl Waterproof Removable Rustic Wood Wallpaper for Bedroom Shelf Drawer Liner,$7.91,56%,56TOZNV7,https://www.amazon.com/promocode/A3IRTWZKCKMAKD?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
JENN ARDOR Women’s Canvas Sneaker Slip-ons Loafers Shoes for Womens 2022 Fashion Casual Canvas Round Toe Soft Comfortable Walking Flats Pink,$23.99,40%,40ZMH8AW,https://www.amazon.com/promocode/AZQBYJRTNIQHQ?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Sheebo 6 Pairs Womens/Mens High Ankle Solid Color Cotton Crew Socks, Unisex Socks (White, Medium)",$7.49,50%,50IHMCFT,https://www.amazon.com/promocode/A2U4IKGT0X3ULT?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Elastic Neck Gaiter (2 Pack), Face Cover Scarf, Bandana Headwear,Cool Breathable",$6.49,50%,50VH2RHM,https://www.amazon.com/promocode/A3VIKLQAI9M07H?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
